[2] GeForce GTX TITAN X | 48'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 48'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 48'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 48'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 48'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 48'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 48'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 47'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 47'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 47'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 47'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 47'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 47'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 47'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 47'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 47'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 46'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 46'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 46'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 46'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 46'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 46'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 46'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 46'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 46'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 46'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 45'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 45'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 45'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 45'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 45'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 45'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 45'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 45'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 45'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 45'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 45'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 45'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
[2] GeForce GTX TITAN X | 44'C,   0 % | 11699 / 12206 MB | tiankeke(11697M)
